,Unnamed: 0,median_income,housing_units,occupied_housing_units,total_pop,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,two_or_more,male,female,median_age,under_18,above_18,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,PCT0050021,PCT0050022,state,zipcode,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10,10.0,96875.0,8740.0,8120.0,26979.0,22068.0,947.0,241.0,1475.0,41.0,1182.0,1025.0,13463.0,13516.0,28.9,10332.0,16630.0,323.0,25.0,0.0,3.0,8.0,271.0,285.0,1.0,3.0,29.0,151.0,4.0,1.0,0.0,17.0,1.0,13.0,21.0,248.0,2.0,28.0,4.0,85297.0,85297,------,587,386,76,61,42,10,11,1,0,0
11,11.0,70860.0,18246.0,16978.0,37993.0,29788.0,2490.0,857.0,1890.0,78.0,1499.0,1391.0,18647.0,19346.0,37.9,7969.0,29958.0,550.0,11.0,0.0,10.0,16.0,284.0,327.0,0.0,24.0,151.0,227.0,10.0,7.0,13.0,37.0,0.0,29.0,22.0,114.0,1.0,18.0,4.0,85044.0,85044,------,975,537,146,128,92,36,22,9,5,0
12,12.0,31921.0,26011.0,22071.0,57348.0,39671.0,3148.0,1739.0,3987.0,170.0,6243.0,2390.0,31214.0,26134.0,23.5,7139.0,40763.0,1238.0,40.0,0.0,9.0,45.0,1216.0,268.0,0.0,38.0,141.0,333.0,26.0,9.0,18.0,48.0,19.0,140.0,41.0,254.0,2.0,43.0,4.0,85281.0,85281,------,2255,945,395,352,324,132,64,28,14,1
13,13.0,48608.0,29594.0,25991.0,65485.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,1936.0,32618.0,32867.0,35.2,15539.0,49191.0,695.0,0.0,0.0,14.0,9.0,275.0,418.0,7.0,16.0,76.0,79.0,2.0,2.0,0.0,2.0,18.0,9.0,30.0,100.0,2.0,34.0,4.0,85032.0,85032,------,1611,878,327,203,138,42,19,4,0,0
14,14.0,97195.0,11677.0,10504.0,26960.0,25266.0,194.0,108.0,452.0,12.0,421.0,507.0,13180.0,13780.0,44.4,6458.0,20483.0,72.0,0.0,0.0,0.0,9.0,101.0,83.0,0.0,3.0,41.0,54.0,3.0,0.0,0.0,7.0,5.0,4.0,13.0,39.0,2.0,10.0,4.0,85331.0,85331,------,796,566,109,67,37,11,5,1,0,0
15,15.0,104814.0,13700.0,12080.0,37182.0,32323.0,820.0,165.0,1831.0,35.0,988.0,1020.0,18465.0,18717.0,36.3,11570.0,25517.0,403.0,17.0,0.0,7.0,30.0,295.0,328.0,2.0,1.0,54.0,280.0,11.0,0.0,1.0,49.0,2.0,2.0,31.0,249.0,0.0,31.0,4.0,85383.0,85383,------,782,549,105,68,44,10,4,2,0,0
16,16.0,64694.0,18763.0,17436.0,42796.0,32320.0,2028.0,773.0,2862.0,48.0,3012.0,1753.0,21001.0,21795.0,34.4,9502.0,33102.0,628.0,17.0,0.0,11.0,63.0,493.0,510.0,7.0,21.0,128.0,174.0,19.0,4.0,4.0,107.0,8.0,37.0,45.0,459.0,0.0,42.0,4.0,85224.0,85224,------,1173,601,202,167,117,56,18,3,6,3
17,17.0,56653.0,19231.0,16763.0,36065.0,29523.0,1194.0,741.0,721.0,44.0,2739.0,1103.0,17821.0,18244.0,40.2,7651.0,28347.0,149.0,1.0,0.0,2.0,5.0,222.0,108.0,1.0,7.0,45.0,72.0,2.0,0.0,1.0,8.0,0.0,9.0,13.0,42.0,1.0,10.0,4.0,85018.0,85018,------,1675,1028,253,190,140,38,13,12,1,0
18,18.0,57386.0,9641.0,8877.0,24191.0,19915.0,828.0,329.0,777.0,40.0,1443.0,859.0,11826.0,12365.0,36.1,5551.0,17893.0,179.0,0.0,0.0,0.0,35.0,121.0,138.0,1.0,0.0,33.0,57.0,8.0,0.0,2.0,8.0,1.0,18.0,20.0,116.0,2.0,23.0,4.0,85306.0,85306,------,518,277,90,62,57,19,10,1,0,2
19,19.0,51129.0,23136.0,21121.0,48671.0,35999.0,3081.0,1581.0,1851.0,303.0,3915.0,1941.0,24983.0,23688.0,30.6,8475.0,39875.0,371.0,7.0,0.0,12.0,52.0,403.0,246.0,1.0,14.0,138.0,227.0,25.0,1.0,14.0,23.0,5.0,25.0,25.0,193.0,2.0,35.0,4.0,85282.0,85282,------,2052,990,379,270,241,85,57,14,15,1
